wkt,weight
POINT(26.912 7.950),100.00
POINT(17.774 28.922),100.00
POINT(8.494 6.286),100.00
POINT(14.337 11.810),100.00
POINT(16.260 8.832),100.00
POINT(25.890 8.562),100.00
POINT(19.890 20.071),100.00
POINT(26.166 6.980),100.00
POINT(3.485 15.176),100.00
POINT(11.089 28.488),100.00
POINT(6.578 11.668),100.00
POINT(8.651 13.649),100.00
POINT(13.477 29.761),100.00
POINT(7.541 21.924),100.00
POINT(24.838 23.949),100.00
POINT(12.351 28.295),100.00
POINT(8.058 9.058),100.00
POINT(18.677 27.605),100.00
POINT(19.106 19.695),100.00
POINT(12.253 21.342),100.00
POINT(6.326 15.202),100.00
POINT(16.356 12.996),100.00
POINT(7.959 3.554),100.00
POINT(27.688 11.119),100.00
POINT(8.079 13.717),100.00
POINT(5.706 21.878),100.00
POINT(5.257 14.039),100.00
POINT(17.252 8.374),100.00
POINT(17.015 24.834),100.00
POINT(3.476 3.285),100.00
POINT(9.288 5.949),100.00
POINT(12.619 16.628),100.00
POINT(4.302 15.901),100.00
POINT(28.138 5.020),100.00
POINT(14.974 26.586),100.00
POINT(14.722 14.327),100.00
POINT(10.827 27.757),100.00
POINT(23.136 27.081),100.00
POINT(15.342 13.584),100.00
POINT(23.532 21.784),100.00
POINT(6.122 15.176),100.00
POINT(18.239 13.882),100.00
POINT(4.334 5.064),100.00
POINT(9.829 5.538),100.00
POINT(8.186 6.838),100.00
POINT(9.131 21.994),100.00
POINT(11.067 28.037),100.00
POINT(14.369 14.480),100.00
POINT(18.900 14.002),100.00
POINT(25.483 23.403),100.00
POINT(12.291 16.492),100.00
POINT(11.627 23.634),100.00
POINT(27.785 3.881),100.00
POINT(25.369 11.766),100.00
POINT(23.270 22.645),100.00
POINT(26.815 10.810),100.00
POINT(20.274 29.347),100.00
POINT(8.826 13.347),100.00
POINT(3.281 13.865),100.00
POINT(4.282 7.425),100.00
POINT(19.158 28.191),100.00
POINT(5.508 3.239),100.00
POINT(26.957 8.461),100.00
POINT(4.779 14.462),100.00
POINT(20.343 20.624),100.00
POINT(17.432 26.892),100.00
POINT(25.974 11.144),100.00
POINT(16.617 7.261),100.00
POINT(14.658 14.975),100.00
POINT(12.309 28.532),100.00
POINT(20.468 27.915),100.00
POINT(9.125 9.048),100.00
POINT(6.897 15.118),100.00
POINT(10.612 4.717),100.00
POINT(14.187 13.105),100.00
POINT(4.517 4.446),100.00
POINT(6.052 22.887),100.00
POINT(15.532 26.515),100.00
POINT(14.991 8.734),100.00
POINT(7.019 12.647),100.00
POINT(11.215 28.339),100.00
POINT(25.761 10.837),100.00
POINT(10.740 29.170),100.00
POINT(19.047 14.093),100.00
POINT(8.157 15.034),100.00
POINT(24.569 26.832),100.00
POINT(25.785 10.994),100.00
POINT(4.428 14.947),100.00
POINT(25.786 12.141),100.00
POINT(5.662 15.484),100.00
POINT(18.786 27.847),100.00
POINT(13.987 16.315),100.00
POINT(10.558 28.697),100.00
POINT(26.377 4.659),100.00
POINT(17.270 9.026),100.00
POINT(11.892 26.613),100.00
POINT(18.198 13.844),100.00
POINT(28.603 10.876),100.00
POINT(20.607 19.470),100.00
POINT(25.344 25.240),100.00
POINT(19.468 15.200),100.00
POINT(7.241 7.304),100.00
POINT(13.769 13.292),100.00
POINT(17.252 25.509),100.00
POINT(15.682 8.714),100.00
POINT(26.665 11.858),100.00
POINT(14.316 13.200),100.00
POINT(27.660 10.357),100.00
POINT(5.914 5.350),100.00
POINT(12.261 22.104),100.00
POINT(20.504 18.970),100.00
POINT(16.052 25.497),100.00
POINT(18.564 13.529),100.00
POINT(12.157 28.849),100.00
POINT(5.453 12.464),100.00
POINT(22.153 25.147),100.00
POINT(6.792 12.493),100.00
POINT(7.851 11.866),100.00
POINT(24.126 24.461),100.00
POINT(17.289 7.621),100.00
POINT(17.876 8.849),100.00
POINT(4.716 4.754),100.00
POINT(18.691 15.129),100.00
POINT(24.161 25.443),100.00
POINT(25.227 9.517),100.00
POINT(18.480 29.546),100.00
POINT(11.480 22.016),100.00
POINT(20.226 15.074),100.00
POINT(3.095 14.256),100.00
POINT(27.623 4.122),100.00
POINT(7.324 13.574),100.00
POINT(15.133 13.824),100.00
POINT(3.488 13.744),100.00
POINT(26.051 6.659),100.00
POINT(19.797 19.402),100.00
POINT(3.662 5.887),100.00
POINT(11.016 19.821),100.00
POINT(14.877 13.651),100.00
POINT(4.099 4.665),100.00
POINT(28.076 4.343),100.00
POINT(23.186 23.730),100.00
POINT(13.511 15.343),100.00
POINT(12.944 12.144),100.00
POINT(8.912 12.471),100.00
POINT(5.081 4.495),100.00
POINT(23.620 23.073),100.00
POINT(7.368 7.739),100.00
POINT(18.971 28.984),100.00
POINT(18.443 19.411),100.00
POINT(18.581 17.725),100.00
POINT(20.031 13.708),100.00
POINT(25.832 9.396),100.00
POINT(4.119 12.850),100.00
POINT(15.302 13.373),100.00
POINT(11.781 29.377),100.00
POINT(18.092 29.916),100.00
POINT(11.305 27.427),100.00
POINT(11.376 6.077),100.00
POINT(12.236 28.436),100.00
POINT(10.777 6.277),100.00
POINT(16.764 13.168),100.00
POINT(16.306 25.159),100.00
POINT(2.600 3.656),100.00
POINT(10.257 3.543),100.00
POINT(12.556 29.360),100.00
POINT(9.286 9.668),100.00
POINT(20.654 25.693),100.00
POINT(18.870 18.303),100.00
POINT(13.812 13.562),100.00
POINT(8.342 12.729),100.00
POINT(21.130 13.750),100.00
POINT(8.256 12.189),100.00
POINT(11.666 29.859),100.00
POINT(2.439 14.968),100.00
POINT(26.556 6.357),100.00
POINT(13.734 26.993),100.00
POINT(23.970 23.079),100.00
POINT(23.873 22.256),100.00
POINT(10.141 22.898),100.00
POINT(25.346 22.919),100.00
POINT(26.389 11.295),100.00
POINT(4.091 13.676),100.00
POINT(8.328 9.770),100.00
POINT(25.901 7.765),100.00
POINT(19.273 15.423),100.00
POINT(26.269 11.024),100.00
POINT(8.531 9.860),100.00
POINT(27.181 3.978),100.00
POINT(4.035 7.117),100.00
POINT(25.756 7.733),100.00
POINT(10.526 5.624),100.00
POINT(16.070 25.624),100.00
POINT(19.056 27.607),100.00
POINT(15.852 26.740),100.00
POINT(15.211 7.090),100.00
POINT(24.719 22.694),100.00
POINT(9.733 5.699),100.00
POINT(16.883 7.512),100.00
POINT(12.133 28.687),100.00
POINT(8.904 14.138),100.00
POINT(12.868 23.012),100.00
POINT(9.906 13.638),100.00
POINT(24.133 23.877),100.00
POINT(2.238 13.847),100.00
POINT(19.162 30.583),100.00
POINT(28.050 10.835),100.00
POINT(14.200 14.237),100.00
POINT(19.128 18.851),100.00
POINT(6.620 23.199),100.00
POINT(4.091 7.733),100.00
POINT(13.285 11.894),100.00
POINT(24.534 22.115),100.00
POINT(8.950 14.825),100.00
POINT(21.582 25.247),100.00
POINT(15.232 13.551),100.00
POINT(27.325 9.590),100.00
POINT(12.839 27.478),100.00
POINT(22.348 24.233),100.00
POINT(20.417 14.120),100.00
POINT(8.734 9.084),100.00
POINT(5.726 14.717),100.00
POINT(15.494 27.282),100.00
POINT(18.226 8.480),100.00
POINT(14.607 15.930),100.00
POINT(24.586 26.097),100.00
POINT(4.782 5.195),100.00
POINT(25.586 23.527),100.00
POINT(18.988 14.412),100.00
POINT(28.186 11.211),100.00
POINT(13.866 17.804),100.00
POINT(25.652 21.866),100.00
POINT(17.319 28.222),100.00
POINT(29.076 4.390),100.00
POINT(20.607 19.603),100.00
POINT(4.422 12.980),100.00
POINT(7.300 11.455),100.00
POINT(25.962 4.141),100.00
POINT(12.723 29.149),100.00
POINT(12.681 27.654),100.00
POINT(19.812 28.649),100.00
POINT(17.350 15.431),100.00
POINT(6.285 13.877),100.00
POINT(10.510 6.983),100.00
POINT(18.961 28.097),100.00
POINT(19.629 14.184),100.00
POINT(8.610 14.077),100.00
POINT(18.832 30.005),100.00
POINT(2.699 14.200),100.00
POINT(7.477 23.092),100.00
POINT(26.680 3.984),100.00
POINT(27.215 8.982),100.00
POINT(12.160 21.537),100.00
POINT(12.426 29.487),100.00
POINT(8.056 8.117),100.00
POINT(23.192 24.634),100.00
POINT(5.586 14.314),100.00
POINT(18.343 28.624),100.00
POINT(12.683 28.727),100.00
POINT(5.138 14.159),100.00
POINT(18.557 28.199),100.00
POINT(18.830 12.370),100.00
POINT(4.427 14.899),100.00
POINT(25.734 23.586),100.00
POINT(5.877 21.057),100.00
POINT(25.366 23.195),100.00
POINT(12.194 27.685),100.00
POINT(8.273 13.311),100.00
POINT(19.182 29.072),100.00
POINT(28.292 5.911),100.00
POINT(25.565 22.112),100.00
POINT(25.451 4.939),100.00
POINT(23.447 25.444),100.00
POINT(10.893 28.619),100.00
POINT(23.610 23.561),100.00
POINT(9.208 4.991),100.00
POINT(6.857 8.559),100.00
POINT(8.376 13.601),100.00
POINT(12.730 13.187),100.00
POINT(20.046 29.251),100.00
POINT(3.446 15.132),100.00
POINT(12.436 21.737),100.00
POINT(9.639 6.623),100.00
POINT(24.367 22.634),100.00
POINT(15.827 25.672),100.00
POINT(23.494 22.279),100.00
POINT(11.506 30.645),100.00
POINT(13.521 14.899),100.00
POINT(10.298 5.128),100.00
POINT(11.973 16.234),100.00
POINT(6.081 15.865),100.00
POINT(6.962 15.502),100.00
POINT(19.643 28.089),100.00
POINT(24.123 8.549),100.00
POINT(13.170 15.434),100.00
POINT(19.135 27.132),100.00
POINT(9.882 22.573),100.00
POINT(4.547 6.470),100.00
POINT(15.262 13.430),100.00
POINT(25.291 22.108),100.00
POINT(16.903 7.876),100.00
POINT(15.960 26.300),100.00
POINT(19.000 27.755),100.00
POINT(8.399 12.386),100.00
POINT(4.005 4.459),100.00
POINT(7.852 14.609),100.00
POINT(13.789 16.204),100.00
POINT(4.462 4.893),100.00
POINT(9.379 3.485),100.00
POINT(11.987 17.530),100.00
POINT(19.273 28.629),100.00
POINT(14.137 16.498),100.00
POINT(14.820 26.101),100.00
POINT(12.352 22.244),100.00
POINT(5.269 13.486),100.00
POINT(18.779 14.594),100.00
POINT(6.112 5.963),100.00
POINT(8.080 9.523),100.00
POINT(22.393 25.222),100.00
POINT(15.163 26.111),100.00
POINT(8.733 14.126),100.00
POINT(11.377 27.290),100.00
POINT(8.234 5.025),100.00
POINT(11.205 27.832),100.00
POINT(23.168 25.138),100.00
POINT(15.724 9.121),100.00
POINT(17.914 19.517),100.00
POINT(19.988 30.103),100.00
POINT(11.878 22.899),100.00
POINT(22.087 25.258),100.00
POINT(26.504 9.878),100.00
POINT(13.916 14.186),100.00
POINT(13.607 18.370),100.00
POINT(21.465 25.268),100.00
POINT(26.942 10.148),100.00
POINT(11.866 22.663),100.00
POINT(6.855 22.381),100.00
POINT(7.412 21.467),100.00
POINT(16.263 26.751),100.00
POINT(6.749 22.118),100.00
POINT(8.200 12.494),100.00
POINT(24.325 24.374),100.00
POINT(15.569 15.418),100.00
POINT(22.550 24.984),100.00
POINT(14.444 13.253),100.00
POINT(14.062 17.183),100.00
POINT(12.218 27.727),100.00
POINT(8.202 4.351),100.00
POINT(12.371 26.778),100.00
POINT(5.829 14.055),100.00
POINT(13.183 15.959),100.00
POINT(18.651 26.773),100.00
POINT(11.745 22.837),100.00
POINT(16.903 25.528),100.00
POINT(18.038 26.948),100.00
POINT(16.476 26.670),100.00
POINT(10.357 27.201),100.00
POINT(11.170 29.077),100.00
POINT(4.349 13.901),100.00
POINT(7.487 21.829),100.00
POINT(16.455 25.555),100.00
POINT(27.095 4.818),100.00
POINT(17.004 27.811),100.00
POINT(23.573 23.592),100.00
POINT(21.925 24.159),100.00
POINT(15.037 25.481),100.00
POINT(24.217 23.587),100.00
POINT(8.154 11.175),100.00
POINT(21.705 26.594),100.00
POINT(13.363 14.391),100.00
POINT(26.730 10.183),100.00
POINT(25.900 5.336),100.00
POINT(10.077 7.039),100.00
POINT(3.875 4.947),100.00
POINT(3.892 6.033),100.00
POINT(8.566 21.964),100.00
POINT(25.972 8.993),100.00
POINT(22.592 24.654),100.00
POINT(9.333 8.889),100.00
POINT(9.818 9.323),100.00
POINT(4.912 15.476),100.00
POINT(18.923 28.260),100.00
POINT(28.020 6.248),100.00
POINT(25.567 21.160),100.00
POINT(18.354 19.588),100.00
POINT(10.935 28.935),100.00
POINT(18.423 12.602),100.00
POINT(14.775 12.573),100.00
POINT(3.959 5.243),100.00
POINT(9.621 20.579),100.00
POINT(14.450 15.432),100.00
POINT(12.820 27.819),100.00
POINT(8.340 11.924),100.00
POINT(5.440 23.743),100.00
POINT(7.350 7.888),100.00
POINT(5.226 23.033),100.00
POINT(16.457 25.743),100.00
POINT(7.869 8.763),100.00
POINT(26.847 7.775),100.00
POINT(19.614 27.989),100.00
POINT(27.902 5.759),100.00
POINT(17.842 8.289),100.00
POINT(13.375 14.349),100.00
POINT(22.492 25.435),100.00
POINT(18.740 27.551),100.00
POINT(12.772 16.316),100.00
POINT(5.783 21.847),100.00
POINT(12.809 22.718),100.00
POINT(11.380 22.784),100.00
POINT(8.486 9.590),100.00
POINT(10.639 29.970),100.00
POINT(10.881 28.610),100.00
POINT(15.586 8.133),100.00
POINT(11.584 28.878),100.00
POINT(10.169 27.584),100.00
POINT(24.746 23.129),100.00
POINT(7.302 15.367),100.00
POINT(11.927 28.750),100.00
POINT(9.249 7.571),100.00
POINT(9.503 6.871),100.00
POINT(12.517 23.774),100.00
POINT(8.088 13.107),100.00
POINT(3.852 14.197),100.00
POINT(10.927 5.695),100.00
POINT(11.041 6.086),100.00
POINT(12.442 27.045),100.00
POINT(25.653 24.008),100.00
POINT(20.886 19.215),100.00
POINT(7.215 15.583),100.00
POINT(23.607 24.756),100.00
POINT(18.602 29.798),100.00
POINT(14.730 13.732),100.00
POINT(8.181 9.218),100.00
POINT(19.344 14.107),100.00
POINT(9.659 9.407),100.00
POINT(14.569 17.170),100.00
POINT(10.786 4.933),100.00
POINT(3.897 5.605),100.00
POINT(8.424 20.799),100.00
POINT(19.794 26.553),100.00
POINT(2.141 5.597),100.00
POINT(22.666 23.329),100.00
POINT(20.113 28.175),100.00
POINT(18.832 26.650),100.00
POINT(15.945 10.359),100.00
POINT(7.777 9.048),100.00
POINT(7.802 12.310),100.00
POINT(5.505 24.148),100.00
POINT(12.880 23.039),100.00
POINT(9.474 4.867),100.00
POINT(17.765 8.269),100.00
POINT(11.714 28.854),100.00
POINT(9.892 10.795),100.00
POINT(19.762 27.647),100.00
POINT(25.718 23.790),100.00
POINT(20.156 20.816),100.00
POINT(8.414 8.247),100.00
POINT(16.501 6.781),100.00
POINT(18.334 12.749),100.00
POINT(27.146 11.485),100.00
POINT(7.040 13.200),100.00
POINT(17.576 26.648),100.00
POINT(8.496 11.550),100.00
POINT(14.844 15.273),100.00
POINT(12.346 24.567),100.00
POINT(3.216 14.931),100.00
POINT(10.507 20.712),100.00
POINT(19.969 14.420),100.00
POINT(4.924 6.038),100.00
POINT(11.807 28.096),100.00
POINT(6.703 15.326),100.00
POINT(8.607 13.363),100.00
POINT(10.833 5.442),100.00
POINT(14.684 14.351),100.00
POINT(24.933 24.432),100.00
POINT(9.254 4.282),100.00
POINT(9.167 6.945),100.00
POINT(15.072 14.729),100.00
POINT(25.431 7.591),100.00
POINT(17.137 26.459),100.00
POINT(4.221 23.922),100.00
POINT(8.802 20.164),100.00
POINT(17.881 27.919),100.00
POINT(19.313 28.686),100.00
POINT(12.371 27.736),100.00
POINT(5.645 6.378),100.00
POINT(19.973 19.625),100.00
POINT(8.417 12.350),100.00
POINT(18.290 14.917),100.00
POINT(19.559 30.569),100.00
POINT(28.703 5.187),100.00
POINT(19.760 12.777),100.00
POINT(3.884 4.074),100.00
POINT(5.606 5.209),100.00
POINT(3.474 6.882),100.00
POINT(24.830 9.710),100.00
POINT(27.671 10.662),100.00
POINT(3.740 6.050),100.00
POINT(4.618 14.644),100.00
POINT(7.210 14.676),100.00
POINT(19.115 26.249),100.00
POINT(18.444 25.553),100.00
POINT(8.407 7.684),100.00
POINT(27.548 5.228),100.00
POINT(18.415 26.774),100.00
POINT(3.207 4.541),100.00
POINT(12.237 29.105),100.00
POINT(20.748 14.142),100.00
POINT(8.787 14.853),100.00
POINT(6.185 21.356),100.00
POINT(9.361 9.863),100.00
POINT(16.698 27.049),100.00
POINT(20.572 14.801),100.00
POINT(14.604 26.360),100.00
POINT(14.979 16.835),100.00
POINT(9.272 20.986),100.00
POINT(16.502 24.853),100.00
POINT(28.242 12.205),100.00
POINT(28.714 10.649),100.00
POINT(10.667 22.904),100.00
POINT(7.938 15.679),100.00
POINT(4.155 22.798),100.00
POINT(10.790 28.226),100.00
POINT(15.667 26.438),100.00
POINT(24.359 24.173),100.00
POINT(14.425 16.153),100.00
POINT(6.013 21.322),100.00
POINT(3.726 14.243),100.00
POINT(4.183 5.754),100.00
POINT(19.452 18.404),100.00
POINT(3.185 3.857),100.00
POINT(9.423 6.053),100.00
POINT(3.703 3.940),100.00
POINT(8.528 12.499),100.00
POINT(14.880 13.150),100.00
POINT(22.522 24.763),100.00
POINT(20.306 29.036),100.00
POINT(10.928 5.852),100.00
POINT(8.093 9.063),100.00
POINT(14.136 17.136),100.00
POINT(8.258 21.785),100.00
POINT(26.710 5.894),100.00
POINT(14.894 12.754),100.00
POINT(5.037 5.711),100.00
POINT(8.369 13.394),100.00
POINT(25.196 22.874),100.00
POINT(3.116 5.864),100.00
POINT(3.581 14.672),100.00
POINT(2.992 4.552),100.00
POINT(8.293 19.382),100.00
POINT(17.250 27.291),100.00
POINT(16.416 27.328),100.00
POINT(22.504 23.429),100.00
POINT(14.710 16.242),100.00
POINT(9.955 20.802),100.00
POINT(25.901 4.093),100.00
POINT(11.095 5.984),100.00
POINT(5.477 21.580),100.00
POINT(14.628 16.941),100.00
POINT(10.782 4.701),100.00
POINT(12.450 16.168),100.00
POINT(26.312 3.891),100.00
POINT(17.888 8.250),100.00
POINT(9.847 13.563),100.00
POINT(22.700 24.574),100.00
POINT(6.708 11.655),100.00
POINT(24.441 24.321),100.00
POINT(23.630 25.907),100.00
POINT(26.790 4.171),100.00
POINT(26.395 2.840),100.00
POINT(7.798 8.132),100.00
POINT(6.153 14.456),100.00
POINT(6.225 16.056),100.00
POINT(23.078 23.765),100.00
POINT(11.619 27.754),100.00
POINT(12.805 17.190),100.00
POINT(27.895 3.075),100.00
POINT(19.122 14.125),100.00
POINT(24.316 6.828),100.00
POINT(14.395 14.114),100.00
POINT(17.092 26.134),100.00
POINT(15.162 26.381),100.00
POINT(24.859 23.968),100.00
POINT(3.930 3.945),100.00
POINT(26.784 10.401),100.00
POINT(10.853 4.690),100.00
POINT(26.062 5.585),100.00
POINT(18.178 26.342),100.00
POINT(11.967 15.295),100.00
POINT(8.286 8.839),100.00
POINT(5.808 23.567),100.00
POINT(10.958 5.038),100.00
POINT(8.494 12.567),100.00
POINT(3.638 4.771),100.00
POINT(3.794 6.148),100.00
POINT(26.380 6.479),100.00
POINT(6.828 21.285),100.00
POINT(17.765 19.230),100.00
POINT(14.183 17.051),100.00
POINT(8.717 22.240),100.00
POINT(15.450 12.945),100.00
POINT(26.575 11.782),100.00
POINT(14.853 26.739),100.00
POINT(25.218 23.076),100.00
POINT(9.967 23.238),100.00
POINT(15.019 13.637),100.00
POINT(5.287 6.437),100.00
POINT(23.657 25.051),100.00
POINT(19.675 29.229),100.00
POINT(18.140 29.170),100.00
POINT(18.771 28.222),100.00
POINT(8.170 8.161),100.00
POINT(11.424 29.231),100.00
POINT(6.309 13.547),100.00
POINT(14.385 14.133),100.00
POINT(3.891 13.544),100.00
POINT(26.212 10.539),100.00
POINT(11.288 22.738),100.00
POINT(8.622 5.597),100.00
POINT(7.686 22.045),100.00
POINT(9.055 13.488),100.00
POINT(19.186 14.335),100.00
POINT(17.998 27.325),100.00
POINT(9.086 19.693),100.00
POINT(18.286 6.600),100.00
POINT(19.474 28.732),100.00
POINT(9.348 12.756),100.00
POINT(4.838 5.598),100.00
POINT(5.268 23.253),100.00
POINT(12.968 21.808),100.00
POINT(25.336 23.448),100.00
POINT(11.603 6.364),100.00
POINT(6.778 23.366),100.00
POINT(26.718 4.206),100.00
POINT(9.363 19.519),100.00
POINT(4.863 23.422),100.00
POINT(14.687 16.881),100.00
POINT(14.972 26.121),100.00
POINT(27.210 12.320),100.00
POINT(11.439 27.314),100.00
POINT(10.522 13.129),100.00
POINT(8.398 15.861),100.00
POINT(25.350 23.491),100.00
POINT(15.840 26.683),100.00
POINT(7.310 8.566),100.00
POINT(14.332 16.059),100.00
POINT(27.954 11.224),100.00
POINT(16.428 8.930),100.00
POINT(8.589 20.913),100.00
POINT(3.834 4.290),100.00
POINT(17.500 7.596),100.00
POINT(15.194 26.145),100.00
POINT(14.188 27.177),100.00
POINT(5.021 7.651),100.00
POINT(11.628 30.140),100.00
POINT(26.850 11.807),100.00
POINT(4.845 5.176),100.00
POINT(7.037 8.480),100.00
POINT(26.728 4.716),100.00
POINT(2.863 14.205),100.00
POINT(2.987 14.341),100.00
POINT(13.296 12.581),100.00
POINT(18.384 28.398),100.00
POINT(20.734 20.049),100.00
POINT(16.539 26.011),100.00
POINT(24.541 21.549),100.00
POINT(11.477 22.201),100.00
POINT(11.645 28.195),100.00
POINT(4.688 6.406),100.00
POINT(9.313 5.555),100.00
POINT(12.341 29.047),100.00
POINT(4.873 6.706),100.00
POINT(27.114 4.559),100.00
POINT(17.663 9.772),100.00
POINT(5.460 14.552),100.00
POINT(27.917 5.920),100.00
POINT(25.130 7.081),100.00
POINT(5.897 21.132),100.00
POINT(12.358 16.971),100.00
POINT(3.825 14.685),100.00
POINT(19.201 28.624),100.00
POINT(3.066 3.804),100.00
POINT(16.810 25.235),100.00
POINT(15.539 12.593),100.00
POINT(8.059 8.442),100.00
POINT(14.861 13.214),100.00
POINT(4.947 3.519),100.00
POINT(24.609 23.998),100.00
POINT(13.330 17.324),100.00
POINT(14.373 13.472),100.00
POINT(19.998 26.501),100.00
POINT(3.904 13.016),100.00
POINT(8.472 8.284),100.00
POINT(11.207 29.845),100.00
POINT(26.741 9.424),100.00
POINT(13.794 12.998),100.00
POINT(20.647 20.527),100.00
POINT(26.835 10.410),100.00
POINT(3.842 5.151),100.00
POINT(15.032 13.942),100.00
POINT(23.639 25.586),100.00
